date,dataset,variable,window,lag,rolling_autocorrelation
2018-10-03,daily_uci,r_uci,500,1,-0.0056284762434628145
2018-10-04,daily_uci,r_uci,500,1,-0.00880898108066025
2018-10-05,daily_uci,r_uci,500,1,0.008849578250507686
2018-10-08,daily_uci,r_uci,500,1,0.008903093165521795
2018-10-09,daily_uci,r_uci,500,1,0.008926906526793784
2018-10-10,daily_uci,r_uci,500,1,0.00882759802669515
2018-10-11,daily_uci,r_uci,500,1,0.008819697767850162
2018-10-12,daily_uci,r_uci,500,1,0.00879361171326828
2018-10-15,daily_uci,r_uci,500,1,0.008727746094506578
2018-10-16,daily_uci,r_uci,500,1,0.009059912882504932
2018-10-17,daily_uci,r_uci,500,1,0.009046403256873272
2018-10-18,daily_uci,r_uci,500,1,0.009067836867489748
2018-10-19,daily_uci,r_uci,500,1,0.009827221674305574
2018-10-22,daily_uci,r_uci,500,1,0.009225646285971466
2018-10-23,daily_uci,r_uci,500,1,0.010689940202907193
2018-10-24,daily_uci,r_uci,500,1,0.009966357725403639
2018-10-25,daily_uci,r_uci,500,1,0.009895877996279886
2018-10-26,daily_uci,r_uci,500,1,0.009991403480085728
2018-10-29,daily_uci,r_uci,500,1,0.009656574712245817
2018-10-30,daily_uci,r_uci,500,1,0.010113368624706243
2018-10-31,daily_uci,r_uci,500,1,0.009346728857234612
2018-11-01,daily_uci,r_uci,500,1,0.009754637814744244
2018-11-02,daily_uci,r_uci,500,1,0.009884044988228471
2018-11-05,daily_uci,r_uci,500,1,0.009822439474021054
2018-11-06,daily_uci,r_uci,500,1,0.009188961575349645
2018-11-07,daily_uci,r_uci,500,1,0.007708399357055535
2018-11-08,daily_uci,r_uci,500,1,0.007238466146493181
2018-11-09,daily_uci,r_uci,500,1,0.010053775624667255
2018-11-12,daily_uci,r_uci,500,1,0.01060643293729831
2018-11-13,daily_uci,r_uci,500,1,0.010759252683268836
2018-11-14,daily_uci,r_uci,500,1,0.010324062221543124
2018-11-15,daily_uci,r_uci,500,1,0.01048884933211384
2018-11-16,daily_uci,r_uci,500,1,0.010485289925537962
2018-11-19,daily_uci,r_uci,500,1,0.003239027649370592
2018-11-20,daily_uci,r_uci,500,1,0.020597916821693044
2018-11-21,daily_uci,r_uci,500,1,0.0210603491393905
2018-11-22,daily_uci,r_uci,500,1,0.02101110778271226
2018-11-23,daily_uci,r_uci,500,1,0.021006275091527044
2018-11-26,daily_uci,r_uci,500,1,0.020999530353914178
2018-11-27,daily_uci,r_uci,500,1,0.021013999016690706
2018-11-28,daily_uci,r_uci,500,1,0.021047515295289275
2018-11-29,daily_uci,r_uci,500,1,0.021436896447811986
2018-11-30,daily_uci,r_uci,500,1,0.02127135151541223
2018-12-03,daily_uci,r_uci,500,1,0.021276994325885146
2018-12-04,daily_uci,r_uci,500,1,0.021279537082389697
2018-12-05,daily_uci,r_uci,500,1,0.02126434732397247
2018-12-06,daily_uci,r_uci,500,1,0.021293517898191415
2018-12-07,daily_uci,r_uci,500,1,0.021090907078796774
2018-12-10,daily_uci,r_uci,500,1,0.021629228807356352
2018-12-11,daily_uci,r_uci,500,1,0.020470747919230987
2018-12-12,daily_uci,r_uci,500,1,0.0202874736702216
2018-12-13,daily_uci,r_uci,500,1,0.020290817024549948
2018-12-14,daily_uci,r_uci,500,1,0.020267758773196292
2018-12-17,daily_uci,r_uci,500,1,0.020020274113858247
2018-12-18,daily_uci,r_uci,500,1,0.019947382262410402
2018-12-19,daily_uci,r_uci,500,1,0.019980354456126014
2018-12-20,daily_uci,r_uci,500,1,0.020010585479041918
2018-12-21,daily_uci,r_uci,500,1,0.019986874928157938
2018-12-24,daily_uci,r_uci,500,1,0.02005068324375024
2018-12-25,daily_uci,r_uci,500,1,0.019907936044537184
2018-12-26,daily_uci,r_uci,500,1,0.019862456527192106
2018-12-27,daily_uci,r_uci,500,1,0.0198599472628096
2018-12-28,daily_uci,r_uci,500,1,0.019853374460960423
2018-12-29,daily_uci,r_uci,500,1,0.019804390862439365
2019-01-04,daily_uci,r_uci,500,1,0.0198623802219237
2019-01-05,daily_uci,r_uci,500,1,0.019887579874996657
2019-01-07,daily_uci,r_uci,500,1,0.01986114223340481
2019-01-08,daily_uci,r_uci,500,1,0.019684420523768488
2019-01-09,daily_uci,r_uci,500,1,0.019777891796314045
2019-01-10,daily_uci,r_uci,500,1,0.01967125184694795
2019-01-11,daily_uci,r_uci,500,1,0.019435535356298356
2019-01-14,daily_uci,r_uci,500,1,0.01910539995120639
2019-01-15,daily_uci,r_uci,500,1,0.020768831291271467
2019-01-16,daily_uci,r_uci,500,1,0.018720219559590946
2019-01-17,daily_uci,r_uci,500,1,-0.014454193351616814
2019-01-18,daily_uci,r_uci,500,1,-0.01411910723493472
2019-01-21,daily_uci,r_uci,500,1,-0.014537175191549305
2019-01-22,daily_uci,r_uci,500,1,-0.01578383760625346
2019-01-23,daily_uci,r_uci,500,1,-0.014804429813412014
2019-01-24,daily_uci,r_uci,500,1,-0.014710408293487286
2019-01-25,daily_uci,r_uci,500,1,-0.014662399707901038
2019-01-28,daily_uci,r_uci,500,1,-0.014572030627041169
2019-01-29,daily_uci,r_uci,500,1,-0.014504076461704322
